Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:GTH,"Gathid Limited (ASX:GTH)",https://www.listcorp.com/asx/gth/gathid-limited,"	4743450",0.018,0.00,0,"Information Technology"
ASX:UVA,"Uvre Limited (ASX:UVA)",https://www.listcorp.com/asx/uva/uvre-limited,"	4743380",0.091,0.00,0,Materials
ASX:SI6,"SI6 Metals Limited (ASX:SI6)",https://www.listcorp.com/asx/si6/si6-metals-limited,"	4737720",0.002,0.00,0,Materials
ASX:EXL,"Elixinol Wellness Limited (ASX:EXL)",https://www.listcorp.com/asx/exl/elixinol-wellness-limited,"	4624140",0.0035,0.00,0,"Consumer Staples"
ASX:RFA,"Rare Foods Australia Ltd (ASX:RFA)",https://www.listcorp.com/asx/rfa/rare-foods-australia-ltd,"	4623720",0.016,-0.00,-5.88,"Consumer Staples"
ASX:NGL,"Nightingale Intelligent Systems, Inc (ASX:NGL)",https://www.listcorp.com/asx/ngl/nightingale-intelligent-systems-inc,"	4619660",0.043,0.00,0,Industrials
ASX:KLI,"Killi Resources Limited (ASX:KLI)",https://www.listcorp.com/asx/kli/killi-resources-limited,"	4610290",0.051,0.01,10.87,Materials
ASX:ICN,"Icon Energy Limited (ASX:ICN)",https://www.listcorp.com/asx/icn/icon-energy-limited,"	4608080",0.006,0.00,0,Energy
ASX:KAL,"Kalgoorlie Gold Mining Limited (ASX:KAL)",https://www.listcorp.com/asx/kal/kalgoorlie-gold-mining-limited,"	4596520",0.029,0.00,0,Materials
ASX:MRI,"My Rewards International Limited (ASX:MRI)",https://www.listcorp.com/asx/mri/my-rewards-international-limited,"	4583070",0.009,0.00,0,Industrials
ASX:OM1,"Omnia Metals Group Limited (ASX:OM1)",https://www.listcorp.com/asx/om1/omnia-metals-group-limited,"	4550570",0.078,0.00,0,Materials
ASX:PLN,"Pioneer Lithium Limited (ASX:PLN)",https://www.listcorp.com/asx/pln/pioneer-lithium-limited,"	4548000",0.16,0.00,0,Materials
ASX:MQR,"Marquee Resources Limited (ASX:MQR)",https://www.listcorp.com/asx/mqr/marquee-resources-limited,"	4547230",0.011,0.00,0,Materials
ASX:SSH,"SSH Group Ltd (ASX:SSH)",https://www.listcorp.com/asx/ssh/ssh-group-ltd,"	4547090",0.069,0.00,0,Industrials
ASX:G88,"Golden Mile Resources Limited (ASX:G88)",https://www.listcorp.com/asx/g88/golden-mile-resources-limited,"	4523450",0.011,0.00,0,Materials
ASX:LYK,"Lykos Metals Limited (ASX:LYK)",https://www.listcorp.com/asx/lyk/lykos-metals-limited,"	4520530",0.024,0.00,0,Materials
ASX:IXC,"Invex Therapeutics Limited (ASX:IXC)",https://www.listcorp.com/asx/ixc/invex-therapeutics-limited,"	4509230",0.06,0.00,0,"Health Care"
ASX:MGA,"MetalsGrove Mining Ltd (ASX:MGA)",https://www.listcorp.com/asx/mga/metalsgrove-mining-ltd,"	4495520",0.049,-0.00,-2,Materials
ASX:GRL,"Godolphin Resources Limited (ASX:GRL)",https://www.listcorp.com/asx/grl/godolphin-resources-limited,"	4491720",0.02,-0.00,-4.76,Materials
ASX:MPR,"MPower Group Limited (ASX:MPR)",https://www.listcorp.com/asx/mpr/mpower-group-limited,"	4468140",0.013,0.00,0,Financials
